,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,sodium,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorous,potassium,selenium,zink,glycine,carbohydrate,fiber,sugars,glucose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,water
1850,"Fast foods, with cheese, nachos",100 g,343,22g,2.2g,3mg,4.32 g,313.00 mg,21.00 IU,5.00 mcg,0.07 mcg,0.215 mg,1.1 mg,0.00 IU,4.08 mg,19.3 mcg,63.00 mg,0.064 mg,0.75 mg,42.00 mg,0.187 mg,198.00 mg,362.00 mg,8.6 mcg,0.86 mg,0.146 g,34.91 g,3.2 g,2.17 g,0.00 g,0.53 g,21.50 g,2.173 g,14.020 g,5.040 g,3.00 mg,0.0 g,1.87 g,0.00 mg,37.40 g
1851,"Babyfood, junior, chicken, meat",100 g,146,9.6g,2.5g,59mg,14.00 g,49.00 mg,40.00 IU,11.00 mcg,0.40 mcg,0.188 mg,1.5 mg,2.00 IU,0.40 mg,1.7 mcg,55.00 mg,0.045 mg,0.99 mg,11.00 mg,0,90.00 mg,122.00 mg,10.3 mcg,1.01 mg,0.981 g,0.00 g,0.0 g,0.00 g,0,0,9.60 g,2.470 g,4.330 g,2.330 g,59.00 mg,0.0 g,0.49 g,0.00 mg,76.00 g
1852,"Kielbasa, grilled, fully cooked",100 g,337,30g,9.9g,73mg,12.45 g,1062.00 mg,32.00 IU,9.00 mcg,0.72 mcg,0.097 mg,14.7 mg,35.00 IU,0.38 mg,0.0 mcg,42.00 mg,0.056 mg,0.99 mg,16.00 mg,0.057 mg,204.00 mg,306.00 mg,19.8 mcg,1.53 mg,0.849 g,5.03 g,0.0 g,2.39 g,1.72 g,0.00 g,29.68 g,9.894 g,12.564 g,5.383 g,73.00 mg,0.0 g,3.46 g,0.00 mg,49.38 g
1853,"Pigeonpeas, raw, immature seeds",100 g,136,1.6g,0.4g,0,7.20 g,5.00 mg,67.00 IU,3.00 mcg,0.00 mcg,0.068 mg,39.0 mg,0.00 IU,0.39 mg,24.0 mcg,42.00 mg,0.134 mg,1.60 mg,68.00 mg,0.574 mg,127.00 mg,552.00 mg,1.5 mcg,1.04 mg,0,23.88 g,5.1 g,3.00 g,0,0,1.64 g,0.354 g,0.013 g,0.873 g,0.00 mg,0.0 g,1.40 g,0.00 mg,65.88 g
1854,"Crackers, low salt, whole-wheat",100 g,443,17g,3.4g,0,8.80 g,186.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.183 mg,0.0 mg,0.00 IU,0.86 mg,8.3 mcg,50.00 mg,0.444 mg,3.08 mg,99.00 mg,2.247 mg,295.00 mg,297.00 mg,14.7 mcg,2.15 mg,0.358 g,68.60 g,10.5 g,0.37 g,0,0,17.20 g,3.393 g,5.880 g,6.596 g,0.00 mg,0.0 g,2.70 g,0.00 mg,2.70 g
1855,"Squab, raw, meat only, (pigeon)",100 g,142,7.5g,2g,90mg,17.50 g,51.00 mg,94.00 IU,28.00 mcg,0.47 mcg,0.530 mg,7.2 mg,0,0,0,13.00 mg,0.594 mg,4.51 mg,25.00 mg,0.019 mg,307.00 mg,237.00 mg,13.5 mcg,2.70 mg,1.159 g,0.00 g,0.0 g,0,0,0,7.50 g,1.960 g,2.660 g,1.600 g,90.00 mg,0,1.17 g,0,72.80 g
1856,"Babyfood, peach yogurt, dessert",100 g,76,0.2g,0.1g,4mg,0.90 g,14.00 mg,3.00 IU,1.00 mcg,0.43 mcg,0.020 mg,11.7 mg,0.00 IU,0.00 mg,0.0 mcg,27.00 mg,0.040 mg,0.40 mg,13.00 mg,0,27.00 mg,102.00 mg,0.8 mcg,0.18 mg,0,17.60 g,0.4 g,11.11 g,0,0,0.18 g,0.117 g,0.048 g,0.005 g,4.00 mg,0.0 g,0.45 g,0.00 mg,80.87 g
1857,"Babyfood, apple - cherry, juice",100 g,47,0.1g,,0,0.20 g,4.00 mg,18.00 IU,1.00 mcg,0.00 mcg,0.030 mg,32.1 mg,0.00 IU,0.02 mg,0.2 mcg,7.00 mg,0.020 mg,0.35 mg,3.00 mg,0,12.00 mg,110.00 mg,0.1 mcg,0.03 mg,0,11.20 g,0.3 g,10.50 g,0,0,0.10 g,0.020 g,0.000 g,0.030 g,0.00 mg,0.0 g,0.36 g,0.00 mg,88.20 g
1858,"Soup, condensed, canned, cheese",100 g,82,3.9g,2.5g,3mg,0.80 g,692.00 mg,235.00 IU,69.00 mcg,0.00 mcg,0.020 mg,0.2 mg,0.00 IU,0.56 mg,4.7 mcg,36.00 mg,0.100 mg,0.15 mg,12.00 mg,0.200 mg,33.00 mg,37.00 mg,3.6 mcg,0.15 mg,0,11.30 g,2.2 g,3.73 g,0,0,3.92 g,2.450 g,1.082 g,0.114 g,3.00 mg,0.0 g,2.29 g,0.00 mg,81.69 g
1859,"Winged beans, raw, mature seeds",100 g,409,16g,2.3g,0,29.65 g,38.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.175 mg,0.0 mg,0.00 IU,0,0,440.00 mg,2.880 mg,13.44 mg,179.00 mg,3.721 mg,451.00 mg,977.00 mg,8.2 mcg,4.48 mg,1.140 g,41.71 g,25.9 g,0,0,0,16.32 g,2.303 g,6.012 g,4.330 g,0.00 mg,0.0 g,3.98 g,0.00 mg,8.34 g
1860,"BURGER KING, no cheese, WHOPPER",100 g,233,13g,4.3g,30mg,10.74 g,313.00 mg,0,0,0,0.091 mg,0.2 mg,0,0.15 mg,19.5 mcg,39.00 mg,0.013 mg,4.37 mg,18.00 mg,0.180 mg,90.00 mg,169.00 mg,18.2 mcg,2.83 mg,0.760 g,18.55 g,1.8 g,4.22 g,0.00 g,1.70 g,12.84 g,4.250 g,4.685 g,3.389 g,30.00 mg,0,1.43 g,0,56.43 g
1861,"Frozen novelties, pop, ice type",100 g,79,0.2g,,0,0.00 g,7.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.7 mg,0.00 IU,0.00 mg,0.0 mcg,0.00 mg,0.000 mg,0.54 mg,1.00 mg,0.000 mg,0.00 mg,15.00 mg,0.2 mcg,0.15 mg,0,19.23 g,0.0 g,13.66 g,3.96 g,6.28 g,0.24 g,0.013 g,0.051 g,0.016 g,0.00 mg,0.0 g,0.05 g,0.00 mg,80.49 g
1862,"Fast foods, with beans, burrito",100 g,206,6.2g,3.2g,2mg,6.48 g,454.00 mg,153.00 IU,0,0.50 mcg,0.140 mg,0.9 mg,0,0,0,52.00 mg,0.174 mg,2.08 mg,40.00 mg,0.400 mg,45.00 mg,301.00 mg,10.1 mcg,0.70 mg,0.251 g,32.92 g,0,0,0,0,6.22 g,3.174 g,2.184 g,0.551 g,2.00 mg,0,1.85 g,0,52.53 g
1863,"APPLEBEE'S, hand battered, fish",100 g,202,9.1g,1.6g,34mg,13.23 g,607.00 mg,22.00 IU,3.00 mcg,1.23 mcg,0.201 mg,0,0,0.88 mg,0,13.00 mg,0.039 mg,0.35 mg,20.00 mg,0.097 mg,234.00 mg,241.00 mg,17.8 mcg,0.34 mg,0.666 g,16.65 g,0.9 g,0.51 g,0.51 g,0.00 g,9.14 g,1.613 g,2.014 g,4.559 g,34.00 mg,0,2.17 g,0,58.82 g
1864,"Salami, beef, pork, dry or hard",100 g,378,32g,11g,108mg,21.07 g,1756.00 mg,36.00 IU,11.00 mcg,1.15 mcg,0.441 mg,0.0 mg,36.00 IU,0.64 mg,0.0 mcg,24.00 mg,0.096 mg,1.36 mg,20.00 mg,0.948 mg,192.00 mg,363.00 mg,33.6 mcg,2.67 mg,0.952 g,0.72 g,0.0 g,0.26 g,0.02 g,0.25 g,31.65 g,11.418 g,14.717 g,4.895 g,108.00 mg,0.0 g,5.37 g,0.00 mg,41.19 g
1865,"Babyfood, apple and plum, juice",100 g,49,0g,,0,0.10 g,0.00 mg,43.00 IU,2.00 mcg,0.00 mcg,0.028 mg,58.2 mg,0.00 IU,0.04 mg,0.8 mcg,5.00 mg,0.042 mg,0.62 mg,3.00 mg,0,3.00 mg,101.00 mg,0.3 mcg,0.03 mg,0,12.30 g,0.1 g,11.54 g,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.30 g,0.00 mg,87.30 g
1866,"MOTHER'S, Iced Lemonade Cookies",100 g,502,24g,8g,7mg,4.50 g,262.00 mg,0,0,0,0.010 mg,0,0,0,0,0,0,2.40 mg,9.00 mg,0,60.00 mg,60.00 mg,0,0.30 mg,0,66.30 g,1.0 g,29.90 g,0,0,24.40 g,8.000 g,5.500 g,9.000 g,7.00 mg,0,0,0,3.40 g
1867,"MOTHER'S, Jungle Animal Cookies",100 g,514,25g,24g,1mg,3.80 g,192.00 mg,0,0,0,0.020 mg,0,0,0,0,0,0,1.50 mg,10.00 mg,0,63.00 mg,98.00 mg,0,0.40 mg,0,68.30 g,0.8 g,44.20 g,0,0,25.30 g,24.300 g,0.400 g,0.300 g,1.00 mg,0,0,0,2.00 g
1868,"Peas, unprepared, frozen, green",100 g,77,0.4g,0.1g,0,5.22 g,108.00 mg,2058.00 IU,103.00 mcg,0.00 mcg,0.083 mg,18.0 mg,0.00 IU,0.02 mg,27.9 mcg,22.00 mg,0.124 mg,1.53 mg,26.00 mg,0.336 mg,82.00 mg,153.00 mg,1.9 mcg,0.82 mg,0.177 g,13.62 g,4.5 g,5.00 g,0.08 g,4.60 g,0.40 g,0.066 g,0.033 g,0.175 g,0.00 mg,0.0 g,0.78 g,0.00 mg,79.98 g
1869,"Fish, raw, mixed species, perch",100 g,91,0.9g,0.2g,90mg,19.39 g,62.00 mg,30.00 IU,9.00 mcg,1.90 mcg,0.120 mg,1.7 mg,118.00 IU,0.20 mg,0.1 mcg,80.00 mg,0.150 mg,0.90 mg,30.00 mg,0.700 mg,200.00 mg,269.00 mg,12.6 mcg,1.11 mg,0.931 g,0.00 g,0.0 g,0.00 g,0,0,0.92 g,0.185 g,0.152 g,0.368 g,90.00 mg,0.0 g,1.24 g,0.00 mg,79.13 g
1870,"Luncheon sausage, pork and beef",100 g,260,21g,7.6g,64mg,15.38 g,1182.00 mg,0.00 IU,0.00 mcg,1.96 mcg,0.200 mg,0.0 mg,0,0,0,13.00 mg,0.080 mg,1.43 mg,14.00 mg,0.042 mg,122.00 mg,245.00 mg,15.4 mcg,2.45 mg,1.203 g,1.58 g,0.0 g,0,0,0,20.90 g,7.620 g,9.930 g,2.050 g,64.00 mg,0,3.52 g,0,58.62 g
1871,"GIRL SCOUTS, Thin Mints Cookies",100 g,502,24g,17g,0,4.50 g,380.00 mg,0,0,0,0,0,0,0,0,0,0,3.00 mg,25.00 mg,0,75.00 mg,95.00 mg,0,0.30 mg,0,67.30 g,2.3 g,32.00 g,0,0,24.20 g,16.500 g,2.600 g,3.600 g,0.00 mg,0,0,0,2.00 g
1872,"McDONALD'S, Sweet 'N Sour Sauce",100 g,170,1.1g,0.1g,0,0.66 g,557.00 mg,168.00 IU,8.00 mcg,0,0.033 mg,1.2 mg,0,0.71 mg,0,6.00 mg,0.037 mg,0.64 mg,6.00 mg,0.047 mg,16.00 mg,99.00 mg,0,0.08 mg,0,39.38 g,0.0 g,35.79 g,18.76 g,0.97 g,1.09 g,0.148 g,0.241 g,0.514 g,0,0,1.50 g,0,57.37 g
1873,"McDONALD'S, Spicy Buffalo Sauce",100 g,142,15g,2.3g,0,0.54 g,2140.00 mg,1028.00 IU,51.00 mcg,0.00 mcg,0.236 mg,0.0 mg,0,2.71 mg,0,9.00 mg,0.037 mg,0.35 mg,6.00 mg,0.046 mg,11.00 mg,100.00 mg,0,0.06 mg,0,1.81 g,1.5 g,0.00 g,0.00 g,0.00 g,15.45 g,2.277 g,3.222 g,8.433 g,0.00 mg,0,6.20 g,0,76.00 g
1874,"Wheat flours, unenriched, bread",100 g,361,1.7g,0.2g,0,11.98 g,2.00 mg,2.00 IU,0.00 mcg,0.00 mcg,0.037 mg,0.0 mg,0.00 IU,0.40 mg,0.3 mcg,15.00 mg,0.182 mg,0.90 mg,25.00 mg,0.792 mg,97.00 mg,100.00 mg,39.7 mcg,0.85 mg,0.410 g,72.53 g,2.4 g,0.31 g,0,0,1.66 g,0.244 g,0.140 g,0.727 g,0.00 mg,0.0 g,0.47 g,0.00 mg,13.36 g
1875,"Veal, cooked, external fat only",100 g,540,53g,18g,85mg,15.28 g,103.00 mg,0.00 IU,0.00 mcg,1.61 mcg,0.214 mg,0.0 mg,142.00 IU,0.45 mg,2.4 mcg,58.00 mg,0.074 mg,1.09 mg,26.00 mg,0.044 mg,168.00 mg,152.00 mg,9.8 mcg,1.42 mg,0.785 g,0.00 g,0.0 g,0.00 g,0,0,53.23 g,17.754 g,23.864 g,1.709 g,85.00 mg,0.0 g,0.60 g,0.00 mg,32.69 g
1876,"Puddings, ready-to-eat, vanilla",100 g,130,3.8g,1g,1mg,1.45 g,142.00 mg,6.00 IU,2.00 mcg,0.15 mcg,0.019 mg,0.2 mg,0.00 IU,0.30 mg,0.6 mcg,49.00 mg,0.018 mg,0.09 mg,4.00 mg,0.011 mg,41.00 mg,65.00 mg,0.0 mcg,0.16 mg,0,22.60 g,0.0 g,16.97 g,0.00 g,15.17 g,3.78 g,1.016 g,2.286 g,0.087 g,1.00 mg,0.0 g,0.51 g,0.00 mg,71.66 g
1877,"Mushrooms, stir-fried, shiitake",100 g,39,0.4g,,0,3.45 g,5.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.174 mg,0.0 mg,21.00 IU,0.00 mg,0.0 mcg,2.00 mg,0.163 mg,0.53 mg,19.00 mg,0.223 mg,111.00 mg,326.00 mg,6.3 mcg,0.96 mg,0.143 g,7.68 g,3.6 g,0.30 g,0.30 g,0.00 g,0.35 g,0.030 g,0.000 g,0.140 g,0.00 mg,0.0 g,0.78 g,0.00 mg,87.74 g
1878,"Cranberry-orange relish, canned",100 g,178,0.1g,,0,0.30 g,32.00 mg,70.00 IU,4.00 mcg,0.00 mcg,0,18.0 mg,0,0,0,11.00 mg,0.040 mg,0.20 mg,4.00 mg,0,8.00 mg,38.00 mg,0,0,0,46.20 g,0.0 g,0,0,0,0.10 g,0.012 g,0,0,0.00 mg,0,0.20 g,0,53.20 g
1879,"BEAR NAKED, Fruit & Nut Cookies",100 g,443,21g,5.1g,0,7.50 g,133.00 mg,0,0,0,0.060 mg,0,0,0.90 mg,0,0,0,2.10 mg,37.00 mg,0,86.00 mg,278.00 mg,0,0.60 mg,0,61.60 g,7.1 g,29.40 g,0,0,21.40 g,5.100 g,8.500 g,7.300 g,0.00 mg,0,0,0,8.00 g
1880,"TACO BELL, Soft Taco with steak",100 g,225,12g,3.4g,31mg,11.81 g,551.00 mg,23.00 IU,1.00 mcg,0.96 mcg,0.085 mg,0,0,0.43 mg,20.8 mcg,117.00 mg,0.113 mg,2.22 mg,21.00 mg,0.220 mg,155.00 mg,183.00 mg,13.1 mcg,2.15 mg,0.460 g,17.22 g,1.6 g,0,0.22 g,0.15 g,12.10 g,3.369 g,3.937 g,3.485 g,31.00 mg,0,2.05 g,0,56.82 g
1881,"Cauliflower, unprepared, frozen",100 g,24,0.3g,,0,2.01 g,24.00 mg,12.00 IU,1.00 mcg,0.00 mcg,0.123 mg,48.8 mg,0.00 IU,0.07 mg,14.8 mcg,22.00 mg,0.031 mg,0.54 mg,12.00 mg,0.197 mg,35.00 mg,193.00 mg,0.8 mcg,0.17 mg,0.065 g,4.68 g,2.3 g,2.22 g,0,0,0.27 g,0.041 g,0.019 g,0.128 g,0.00 mg,0.0 g,0.53 g,0.00 mg,92.51 g
1882,"Beans, with pork, canned, baked",100 g,106,1.6g,0.6g,7mg,5.19 g,414.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.064 mg,2.0 mg,0.00 IU,0,0,53.00 mg,0.215 mg,1.70 mg,34.00 mg,0.361 mg,108.00 mg,309.00 mg,4.7 mcg,1.46 mg,0.205 g,19.99 g,5.5 g,0,0,0,1.55 g,0.599 g,0.673 g,0.199 g,7.00 mg,0,1.81 g,0,71.46 g
1883,"Fish, raw, bluefin, fresh, tuna",100 g,144,4.9g,1.3g,38mg,23.33 g,39.00 mg,2183.00 IU,655.00 mcg,9.43 mcg,0.455 mg,0.0 mg,227.00 IU,1.00 mg,0.0 mcg,8.00 mg,0.086 mg,1.02 mg,50.00 mg,0.015 mg,254.00 mg,252.00 mg,36.5 mcg,0.60 mg,1.120 g,0.00 g,0.0 g,0.00 g,0,0,4.90 g,1.257 g,1.600 g,1.433 g,38.00 mg,0.0 g,1.18 g,0.00 mg,68.09 g
1884,"Fish, raw, mixed species, trout",100 g,148,6.6g,1.1g,58mg,20.77 g,52.00 mg,57.00 IU,17.00 mcg,7.79 mcg,0.200 mg,0.5 mg,155.00 IU,0.20 mg,0.1 mcg,43.00 mg,0.188 mg,1.50 mg,22.00 mg,0.851 mg,245.00 mg,361.00 mg,12.6 mcg,0.66 mg,0.997 g,0.00 g,0.0 g,0.00 g,0,0,6.61 g,1.149 g,3.254 g,1.499 g,58.00 mg,0.0 g,1.17 g,0.00 mg,71.42 g
1885,"Fish, raw, wild, rainbow, trout",100 g,119,3.5g,0.7g,59mg,20.48 g,31.00 mg,62.00 IU,19.00 mcg,4.45 mcg,0.406 mg,2.4 mg,0,0,0,67.00 mg,0.109 mg,0.70 mg,31.00 mg,0.158 mg,271.00 mg,481.00 mg,12.6 mcg,1.08 mg,0.983 g,0.00 g,0.0 g,0,0,0,3.46 g,0.722 g,1.129 g,1.237 g,59.00 mg,0.0 g,1.31 g,0,71.87 g
1886,"Candies, YORK Peppermint Pattie",100 g,384,7.2g,4.3g,1mg,2.19 g,28.00 mg,7.00 IU,0,0,0,0.0 mg,0,0,0,11.00 mg,0,0.92 mg,0,0,0.00 mg,111.00 mg,0,0,0,80.99 g,2.0 g,63.78 g,0,0,7.17 g,4.340 g,0.410 g,0.110 g,1.00 mg,0,0.14 g,0,9.03 g
1887,"Tree fern, without salt, cooked",100 g,40,0.1g,,0,0.29 g,5.00 mg,200.00 IU,10.00 mcg,0.00 mcg,0.179 mg,30.0 mg,0.00 IU,0,0,8.00 mg,0.202 mg,0.16 mg,5.00 mg,0.539 mg,4.00 mg,5.00 mg,0.9 mcg,0.31 mg,0,10.98 g,3.7 g,0,0,0,0.07 g,0.009 g,0.005 g,0.034 g,0.00 mg,0.0 g,0.06 g,0,88.60 g
1888,"Cabbage, raw, chinese (pe-tsai)",100 g,16,0.2g,,0,1.20 g,9.00 mg,318.00 IU,16.00 mcg,0.00 mcg,0.232 mg,27.0 mg,0.00 IU,0.12 mg,42.9 mcg,77.00 mg,0.036 mg,0.31 mg,13.00 mg,0.190 mg,29.00 mg,238.00 mg,0.6 mcg,0.23 mg,0.035 g,3.23 g,1.2 g,1.41 g,0,0,0.20 g,0.043 g,0.023 g,0.072 g,0.00 mg,0.0 g,0.98 g,0.00 mg,94.39 g
1889,"Pizza rolls, unprepared, frozen",100 g,328,10g,2.5g,6mg,8.73 g,599.00 mg,519.00 IU,67.00 mcg,0.26 mcg,0.070 mg,0.0 mg,1.00 IU,1.59 mg,4.6 mcg,125.00 mg,0.131 mg,1.80 mg,20.00 mg,0,137.00 mg,301.00 mg,12.1 mcg,0.73 mg,0,50.72 g,1.2 g,3.74 g,0,0,9.98 g,2.494 g,3.849 g,2.853 g,6.00 mg,0.0 g,2.72 g,0.00 mg,27.86 g
1890,"Vitasoy USA Azumaya, Firm Tofu",100 g,80,4.2g,0.5g,0,9.08 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52 g,0.6 g,0.40 g,0,0,4.20 g,0.500 g,1.200 g,2.500 g,0.00 mg,0,1.20 g,0,84.00 g
1891,"Milk, whole, fluid, buttermilk",100 g,62,3.3g,1.9g,11mg,3.21 g,105.00 mg,165.00 IU,47.00 mcg,0.46 mcg,0.036 mg,0.0 mg,52.00 IU,0.07 mg,0.3 mcg,115.00 mg,0.025 mg,0.03 mg,10.00 mg,0.004 mg,85.00 mg,135.00 mg,3.7 mcg,0.38 mg,0.064 g,4.88 g,0.0 g,4.88 g,0,0,3.31 g,1.899 g,0.827 g,0.198 g,11.00 mg,0.0 g,0.68 g,0.00 mg,87.91 g
1892,"Snacks, salted, plantain chips",100 g,531,30g,8.3g,0,2.28 g,202.00 mg,1386.00 IU,69.00 mcg,0.00 mcg,0.460 mg,32.1 mg,0.00 IU,5.04 mg,28.6 mcg,9.00 mg,0.198 mg,0.97 mg,71.00 mg,0.276 mg,78.00 mg,786.00 mg,0.4 mcg,0.37 mg,0,63.84 g,3.5 g,0.92 g,0,0.92 g,29.59 g,8.337 g,5.632 g,11.739 g,0.00 mg,0.0 g,2.19 g,0.00 mg,2.09 g
1893,"Soup, dry, chicken broth cubes",100 g,198,4.7g,1.2g,13mg,14.60 g,24000.00 mg,2.00 IU,0.00 mcg,0.30 mcg,0.100 mg,1.0 mg,0,0.09 mg,0.0 mcg,190.00 mg,0.000 mg,1.87 mg,56.00 mg,0.377 mg,191.00 mg,374.00 mg,27.9 mcg,0.20 mg,0,23.50 g,0.0 g,0.00 g,0,0,4.70 g,1.200 g,1.920 g,1.620 g,13.00 mg,0,54.70 g,0,2.50 g
1894,"Bologna, turkey and beef, pork",100 g,336,29g,12g,75mg,11.56 g,1055.00 mg,0.00 IU,0.00 mcg,1.08 mcg,0.388 mg,11.0 mg,0,0.00 mg,0,31.00 mg,0.093 mg,1.20 mg,14.00 mg,0.265 mg,128.00 mg,222.00 mg,12.4 mcg,2.22 mg,0.664 g,6.66 g,0.0 g,1.35 g,0,0,29.25 g,11.700 g,12.789 g,2.512 g,75.00 mg,0.0 g,7.15 g,0.00 mg,45.37 g
1895,"Bologna, lite, pork and turkey",100 g,211,16g,5.5g,79mg,13.06 g,716.00 mg,2.00 IU,1.00 mcg,0.29 mcg,0.163 mg,0.0 mg,0,0,0,48.00 mg,0.082 mg,1.15 mg,17.00 mg,0.155 mg,94.00 mg,138.00 mg,5.6 mcg,0.73 mg,0.461 g,3.45 g,0.0 g,0.00 g,0,0,16.06 g,5.460 g,7.548 g,3.051 g,79.00 mg,0.0 g,2.56 g,0.00 mg,64.87 g
1896,"Restaurant, tripe soup, Latino",100 g,74,2.6g,1g,59mg,8.61 g,411.00 mg,0.00 IU,0.00 mcg,0.45 mcg,0.038 mg,0,0,0.38 mg,2.3 mcg,22.00 mg,0.022 mg,0.68 mg,10.00 mg,0.064 mg,42.00 mg,81.00 mg,5.6 mcg,1.06 mg,0.978 g,4.07 g,0,0,0,0,2.58 g,1.045 g,1.124 g,0.310 g,59.00 mg,0,1.33 g,0,83.41 g
1897,"Mungo beans, raw, mature seeds",100 g,341,1.6g,0.1g,0,25.21 g,38.00 mg,23.00 IU,1.00 mcg,0.00 mcg,0.281 mg,0.0 mg,0.00 IU,0,0,138.00 mg,0.981 mg,7.57 mg,267.00 mg,1.527 mg,379.00 mg,983.00 mg,8.2 mcg,3.35 mg,1.053 g,58.99 g,18.3 g,0,0,0,1.64 g,0.114 g,0.085 g,1.071 g,0.00 mg,0,3.36 g,0,10.80 g
1898,"Fish, dry heat, cooked, burbot",100 g,115,1g,0.2g,77mg,24.76 g,124.00 mg,17.00 IU,5.00 mcg,0.92 mcg,0.346 mg,0.0 mg,0,0,0,64.00 mg,0.256 mg,1.15 mg,41.00 mg,0.897 mg,256.00 mg,518.00 mg,16.2 mcg,0.97 mg,1.188 g,0.00 g,0.0 g,0,0,0,1.04 g,0.209 g,0.170 g,0.381 g,77.00 mg,0,1.49 g,0,73.41 g
1899,"Ravioli, canned, cheese-filled",100 g,77,1.5g,0.7g,3mg,2.48 g,306.00 mg,207.00 IU,10.00 mcg,0.03 mcg,0.102 mg,0.0 mg,0.00 IU,0.85 mg,2.3 mcg,33.00 mg,0.142 mg,0.74 mg,15.00 mg,0.176 mg,50.00 mg,232.00 mg,3.5 mcg,0.36 mg,0,13.64 g,1.3 g,3.72 g,0,0,1.45 g,0.723 g,0.418 g,0.182 g,3.00 mg,0.0 g,1.52 g,0.00 mg,80.91 g
1900,"Beans, raw, mature seeds, pink",100 g,343,1.1g,0.3g,0,20.96 g,8.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.527 mg,0.0 mg,0.00 IU,0.21 mg,5.7 mcg,130.00 mg,0.810 mg,6.77 mg,182.00 mg,1.376 mg,415.00 mg,1464.00 mg,13.0 mcg,2.55 mg,0.818 g,64.19 g,12.7 g,2.14 g,0,0,1.13 g,0.292 g,0.098 g,0.487 g,0.00 mg,0.0 g,3.66 g,0.00 mg,10.06 g
1901,"Sausage, links, sweet, Italian",100 g,149,8.4g,3.3g,30mg,16.13 g,570.00 mg,2.00 IU,0.00 mcg,1.04 mcg,0.187 mg,0.2 mg,0,0,0,25.00 mg,0.040 mg,1.19 mg,12.00 mg,0.007 mg,103.00 mg,194.00 mg,10.8 mcg,1.52 mg,0.482 g,2.10 g,0.0 g,0.00 g,0,0,8.42 g,3.257 g,3.629 g,0.493 g,30.00 mg,0.0 g,1.75 g,0.00 mg,71.60 g
1902,"Buckwheat groats, dry, roasted",100 g,346,2.7g,0.6g,0,11.73 g,11.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.353 mg,0.0 mg,0.00 IU,0,0,17.00 mg,0.624 mg,2.47 mg,221.00 mg,1.618 mg,319.00 mg,320.00 mg,8.4 mcg,2.42 mg,0.912 g,74.95 g,10.3 g,0,0,0,2.71 g,0.591 g,0.828 g,0.828 g,0.00 mg,0.0 g,2.20 g,0,8.41 g
1903,"Yogurt, nonfat milk, chocolate",100 g,112,0g,,1mg,3.53 g,135.00 mg,0.00 IU,0.00 mcg,0.50 mcg,0.047 mg,0.0 mg,0.00 IU,0.00 mg,0.0 mcg,88.00 mg,0.209 mg,0.42 mg,40.00 mg,0,166.00 mg,339.00 mg,7.0 mcg,1.13 mg,0,23.53 g,1.2 g,14.97 g,0,0,0.00 g,0.000 g,0.000 g,0.000 g,1.00 mg,0.0 g,1.37 g,2.00 mg,71.57 g
1904,"Beverages, non-alcoholic, Wine",100 g,6,0g,,0,0.50 g,7.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.020 mg,0.0 mg,0.00 IU,0.00 mg,0.0 mcg,9.00 mg,0.011 mg,0.40 mg,10.00 mg,0,15.00 mg,88.00 mg,0.2 mcg,0.08 mg,0,1.10 g,0.0 g,1.10 g,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.20 g,0.00 mg,98.20 g
1905,"Babyfood, strained, beef, meat",100 g,81,2.5g,1.2g,51mg,12.03 g,41.00 mg,0.00 IU,0.00 mcg,1.26 mcg,0.039 mg,2.1 mg,15.00 IU,0.37 mg,0.6 mcg,5.00 mg,0.148 mg,0.98 mg,11.00 mg,0.037 mg,93.00 mg,187.00 mg,2.9 mcg,2.22 mg,0,2.43 g,0.0 g,0.00 g,0,0,2.52 g,1.180 g,0.950 g,0.160 g,51.00 mg,0.0 g,0.57 g,0.00 mg,82.44 g
1906,"Babyfood, strained, pork, meat",100 g,124,7.1g,2.4g,48mg,14.00 g,42.00 mg,38.00 IU,11.00 mcg,0.99 mcg,0.205 mg,1.8 mg,0,0.40 mg,0,5.00 mg,0.072 mg,1.00 mg,10.00 mg,0,94.00 mg,223.00 mg,12.9 mcg,2.27 mg,0.760 g,0.00 g,0.0 g,0.00 g,0,0,7.10 g,2.400 g,3.580 g,0.780 g,48.00 mg,0.0 g,1.10 g,0.00 mg,78.40 g
